"","time","close","high","low","open","volumefrom","volumeto"
"958",2019-07-30 04:57:00,9429.68,9430.94,9429.13,9430.84,4.549,42855.45
"959",2019-07-30 04:58:00,9428.87,9429.7,9427.6,9429.68,1.86,17522.77
"960",2019-07-30 04:59:00,9425.46,9428.87,9425.24,9428.87,10.19,96246.34
"961",2019-07-30 05:00:00,9426.79,9427.13,9424.68,9425.46,2.408,22695.46
"962",2019-07-30 05:01:00,9429.08,9429.08,9425.08,9426.79,11.89,112036.04
"963",2019-07-30 05:02:00,9428.36,9430.57,9428.36,9429.08,7.796,73457.3
"964",2019-07-30 05:03:00,9426.91,9429.42,9426.91,9428.36,1.608,15152.42
"965",2019-07-30 05:04:00,9427.83,9428.91,9426.91,9426.91,3.843,36305.37
"966",2019-07-30 05:05:00,9427.82,9429.27,9426.91,9427.83,1.739,16424.82
"967",2019-07-30 05:06:00,9428.25,9428.87,9427.02,9427.82,3.825,36049.09
"968",2019-07-30 05:07:00,9427.57,9428.25,9426.56,9428.25,1.211,11468.69
"969",2019-07-30 05:08:00,9432.59,9432.59,9427.57,9427.57,13.23,124799.04
"970",2019-07-30 05:09:00,9433.22,9434.94,9432.1,9432.59,7.851,74025.12
"971",2019-07-30 05:10:00,9429.65,9433.46,9427.21,9433.22,4.728,44589.56
"972",2019-07-30 05:11:00,9427.78,9429.65,9426.81,9429.65,8.804,83582.66
"973",2019-07-30 05:12:00,9426.04,9427.97,9426.04,9427.78,16.47,157016.29
"974",2019-07-30 05:13:00,9421.76,9426.26,9420.51,9426.04,20.58,193685.04
"975",2019-07-30 05:14:00,9423.54,9423.56,9419.96,9421.76,8.558,80577.03
"976",2019-07-30 05:15:00,9424.29,9424.29,9421.53,9423.54,4.963,46728.14
"977",2019-07-30 05:16:00,9424.64,9425.14,9423.67,9424.29,4.929,46460.78
"978",2019-07-30 05:17:00,9424.98,9426.83,9424.06,9424.64,13.42,126602.69
"979",2019-07-30 05:18:00,9425.23,9426.22,9424.98,9424.98,8.721,82160.74
"980",2019-07-30 05:19:00,9420.31,9425.23,9418.59,9425.23,12.38,116564.76
"981",2019-07-30 05:20:00,9417.86,9421.46,9417.51,9420.31,2.901,27317.83
"982",2019-07-30 05:21:00,9414.57,9421.08,9414.57,9417.86,15.23,143409.96
"983",2019-07-30 05:22:00,9413.71,9415.26,9413.03,9414.57,15.97,151853.64
"984",2019-07-30 05:23:00,9413.36,9413.93,9412.33,9413.71,9.242,87469
"985",2019-07-30 05:24:00,9411.26,9413.37,9407.9,9413.36,39.86,374844.62
"986",2019-07-30 05:25:00,9417.91,9419.03,9411.26,9411.26,36.7,345107.72
"987",2019-07-30 05:26:00,9419.01,9420.56,9417.71,9417.91,6.443,60687.11
"988",2019-07-30 05:27:00,9415.45,9420.64,9415.04,9419.01,35.15,330338.2
"989",2019-07-30 05:28:00,9412.2,9415.45,9411.56,9415.45,8.953,84163.44
"990",2019-07-30 05:29:00,9412.01,9414.2,9411.98,9412.2,13.87,130419.34
"991",2019-07-30 05:30:00,9421.44,9421.44,9412.01,9412.01,16.43,154637.2
"992",2019-07-30 05:31:00,9447.22,9449,9421.44,9421.44,43.56,411206.26
"993",2019-07-30 05:32:00,9450.16,9453.65,9447.22,9447.22,23.05,217623.31
"994",2019-07-30 05:33:00,9447.8,9452.02,9444.14,9450.16,14.53,138363.86
"995",2019-07-30 05:34:00,9445.24,9447.8,9444.09,9447.8,4.608,43519.5
"996",2019-07-30 05:35:00,9445.56,9445.86,9443.33,9445.24,5.735,54165.27
