,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
54,2019-07-26 20:00:00,0.8001461345671872,0.6532795450163831,0.1511370734528634,0.26664545980335524,0.048716791979949964,0.08007769423558896,0.2071653364179679,0.1881908424908421,9842.47,9877.59,9766.1,9866.38,1931.89,19005962.36,-23.909999999999854,0
55,2019-07-26 21:00:00,0.810134836332106,0.6603548666811151,0.14521894645566896,0.2641606329937134,0.044645566876219386,0.07548601777585087,0.20790778235421656,0.19543138955126815,9836.4,9853.11,9783.82,9842.47,1017.57,9996950.28,-6.069999999999709,0
56,2019-07-26 22:00:00,0.8112151774785801,0.6584526315789456,0.14375006119951086,0.2654592411260707,0.04503843329253362,0.0760883720930232,0.2062851652386778,0.1962852386780898,9797.01,9845.49,9789.74,9836.4,641.18,6300119.87,-39.38999999999942,0
57,2019-07-26 23:00:00,0.8192554127198923,0.6803119079837614,0.13544519621109635,0.24579296346414087,0.045297361299052735,0.07389648173207038,0.1896090324763198,0.17871184032476303,9847.45,9864.83,9794.59,9797.01,1060.13,10434570.4,50.44000000000051,1
58,2019-07-27 00:00:00,0.8090614480363338,0.6634114346780629,0.14481725888324884,0.2598402351055304,0.04612636922254878,0.0767536735239112,0.2093131178199304,0.1892918514560513,10167.81,10202.95,9832.83,9847.45,7500.58,75786845.37,320.35999999999876,1
59,2019-07-27 01:00:00,0.8160616554054063,0.6729691722972978,0.13577744932432448,0.23909248310810804,0.048163006756756735,0.08794341216216203,0.18491461148648655,0.1615757601351355,10133.36,10184.09,10132.63,10167.81,1512.14,15358102.41,-34.44999999999891,0
60,2019-07-27 02:00:00,0.8240226293103452,0.6780387931034477,0.13070096982758597,0.24455926724137958,0.04527855603448279,0.0774073275862069,0.18564854525862112,0.17640501077586232,10134.74,10137.94,10114.36,10133.36,1089.5,11026661.23,1.3799999999991996,1
61,2019-07-27 03:00:00,0.8306722462203044,0.6821560475161978,0.13035475161987034,0.2495145788336937,0.03897840172786178,0.06832829373650114,0.20567014038876888,0.19358066954643643,10133.32,10148.4,10129.04,10134.74,622.38,6310216.06,-1.4200000000000728,0
62,2019-07-27 04:00:00,0.8455993650793654,0.7114514285714295,0.11284634920634913,0.21076126984126986,0.04155047619047618,0.07778349206349208,0.17130374603174628,0.15232393650793682,10133.36,10142.01,10116.92,10133.32,637.39,6461475.68,0.040000000000873115,1
63,2019-07-27 05:00:00,0.8379026845637574,0.6972503355704692,0.11835302013422809,0.22467315436241603,0.04373489932885909,0.07807852348993288,0.16413006711409414,0.16059758389261758,10081.92,10134.88,10071.44,10133.36,1036.53,10469364.97,-51.44000000000051,0
